           Time,  CLOUDLET_MIPS,       USED_RAM,   CLOUDLET_RAM
              0,          39.42,       2.084513,      0.6155879
              5,          21.23,       1.770698,      0.5049467
             10,          24.21,       1.845715,      0.5026064
             15,           17.1,       1.766362,       0.472747
             20,          17.25,       1.609817,      0.4208562
             25,          20.22,       1.623232,      0.4212597
             30,           24.2,       1.652718,      0.4216632
             35,          21.95,       1.659005,      0.4199685
             40,          18.08,       1.664425,      0.4188387
             45,          24.08,       1.766401,      0.4281193
             50,          18.16,       1.746996,      0.4224702
             55,          16.12,       1.751299,      0.4191615
             60,          25.04,       1.725432,      0.4064914
             65,          26.24,       1.725867,      0.4020528
             70,          21.16,       1.680003,      0.3869617
             75,          22.22,       1.659789,      0.3829267
             80,          20.26,        1.68609,      0.3809091
             85,          25.12,       1.685872,      0.3791337
             90,          18.08,       1.665657,      0.3773583
             95,          16.49,       1.739374,      0.4704874
            100,          21.42,         2.0095,      0.8525263
            105,          20.19,       2.005377,      0.8541403
            110,          17.27,       2.018318,       0.855593
            115,          26.04,       2.025597,      0.8573684
            120,          10.99,       2.018924,      0.8593052
            125,          18.15,       2.010634,      0.8611613
            130,          19.52,       2.036515,      0.8715718
            135,          24.18,       2.060981,      0.8768174
            140,          24.22,       2.055319,      0.8785121
            145,           18.3,       2.048849,      0.8802875
            150,          17.22,       2.042986,      0.8819015
            155,          17.21,       2.037728,      0.8831927
            160,          23.98,       2.050871,      0.8848875
            165,          14.23,       2.056533,      0.8869857
            170,          26.91,       2.051276,      0.8884383
            175,          23.09,       2.044199,      0.8902137
            180,          16.19,       2.038942,       0.892312
            185,          18.16,       2.045816,      0.8940067
            190,          24.08,       2.069878,      0.9010277
            195,           10.6,       2.082818,      0.9057083
            200,          23.15,       2.076348,      0.9074838
            205,          21.42,       2.069675,      0.9093399
            210,          20.24,       2.076348,      0.9109539
            215,          14.27,       2.088884,      0.9125679
            220,          19.26,       2.083222,      0.9144241
            225,          21.06,       2.077359,      0.9161188
            230,          17.12,       2.072304,      0.9173293
            235,          20.35,       2.072506,      0.9189433
            240,          25.05,       2.089895,      0.9212837
            245,          16.45,       2.083425,      0.9291117
            250,          12.01,       2.083425,      0.9332274
            255,          17.08,       2.102835,      0.9348414
            260,          19.27,       2.097376,      0.9361327
            265,          24.96,       2.104251,      0.9378274
            270,          21.17,       2.115372,      0.9397642
            275,          17.13,       2.110317,      0.9412975
            280,          20.15,       2.105464,      0.9424273
            285,          16.54,       2.100005,      0.9441221
            290,          20.98,       2.107103,      0.9457361
            295,          20.18,       2.130496,      0.9475922
            300,          14.27,       2.138579,       0.948722
            305,          14.29,       2.135144,      0.9494483
            310,          18.08,       2.131102,      0.9502553
            315,          13.19,       1.906775,      0.8869857
            320,           12.4,        1.90334,       0.887712
            325,          3.025,       1.901723,       0.887712
