Monitoring-Site	Remote-Site	?	Aug2013	Jul2013	Jun2013	May2013	Apr2013	Mar2013	Feb2013	Jan2013	Dec2012	Nov2012	Oct2012	Sep2012	Aug2012	Jul2012	Jun2012	May2012	Apr2012	Mar2012	Feb2012	Jan2012	Dec2011	Nov2011	Oct2011	Sep2011	Monitoring-Node	Mon-TLD	Mon-Region	Remote-Node	Rem-TLD	Rem-Region
PK.PERNKHIPOP.EDU.N2	PK.PERNPWRPOP.EDU.N2	?M	0	54.496	0	0	0	28.997	27.546	36.378	53.126	30.59	37.736	82.928	69.403	34.62	32.601	28.814	28.811	28.507	28.781	27.928	28.93	29.463	31.066	30.138	pingerkhi.pern.edu.pk	PK	South_Asia	pingerpwr.pern.edu.pk	PK	South_Asia
PK.COMSATS.EDU.N2	IT.ICTP.N1	?M	173.23	176.358	176.113	178.497	234.847	217.284	179.612	189.785	184.849	186.068	178.695	175.202	173.945	178.296	178.954	185.61	184.47	195.567	182.138	167.726	171.394	180.473	165.733	182.884	pinger.comsats.edu.pk	PK	South_Asia	pinger.ictp.it	IT	Europe
PK.AIRUNIVERSITY.EDU.N2	TN.GNET.N1	?B	151.826	152.91	189.617	166.429	154.066	164.799	151.805	156.281	155.592	192.047	179.498	173.125	157.228	154.34	153.83	158.027	155.46	153.151	157.683	0	145.315	159.016	173.124	204.91	airuniversity.seecs.edu.pk	PK	South_Asia	mail.gnet.tn	TN	Africa
UK.DL.AC.N2	EDU.CORNELL.N2	?r	110.596	114.655	111.226	115.067	110.763	112.157	120.742	121.092	121.928	121.017	120.94	120.476	122.963	121.177	122.214	121.462	121.009	120.07	111.853	111.314	110.65	111.215	111.281	105.047	icfamon.dl.ac.uk	UK	Europe	lns62.lns.cornell.edu	EDU	North_America
EDU.STANFORD.N9	HU.KFKI.N1	?B	183.829	187.022	183.42	184.56	185.71	185.171	184.453	184.882	185.021	185.901	186.673	187.737	187.025	187.171	187.027	185.924	200.779	197.655	186.441	186.751	186.872	186.033	196.194	192.267	pinger.stanford.edu	EDU	North_America	ping.rmki.kfki.hu	HU	Europe
PK.NU.EDU.N2	EG.EUN.N1	?B	264.396	206.418	300.602	215.218	293.79	280.026	267.947	272.869	296.294	276.684	210.906	183.436	264.443	198.293	185.975	177.034	177.655	188.774	185.818	174.649	197.185	174.68	176.634	207.562	pinger.lhr.nu.edu.pk	PK	South_Asia	frcu.eun.eg	EG	Africa
PK.UETTAXILA.EDU.N1	SN.COLLEGE.EDU.N1	?B	217.135	224.66	231.531	223.04	0	219.494	215.14	224.603	226.615	232.382	219.983	219.969	226.157	229.978	215.551	225.71	253.018	339.79	281.785	231.404	231.833	303.829	321.064	240.772	pinger.uettaxila.edu.pk	PK	South_Asia	www.college.edu.sn	SN	Africa
PK.UET.EDU.N2	DZ.UNIV-SBA	?B	195.273	199.674	213.828	212.663	248.046	249.034	233.196	226.098	223.359	241.057	222.348	226.179	196.549	224.043	205.9	183.254	186.742	199.83	205.026	206.362	206.461	228.304	226.143	259.542	pinger.uet.edu.pk	PK	South_Asia	www.univ-sba.dz	DZ	Africa
PK.PINGERKHI-CPSP.PERN.EDU	MN.MAGIC.N1	?B	229.418	270.564	236.229	226.27	283.987	289.724	239.479	222.608	236.5	393.276	394.353	360.483	399.491	353.662	351.712	355.532	355.635	359.297	364.504	375.555	381.676	375.131	0	0	pingerkhi-cpsp.pern.edu.pk	PK	South_Asia	magic.mn	MN	Central_Asia
PK.UETTAXILA.EDU.N1	PK.COMSATS.EDU.N2	?M	55.528	57.445	72.085	68.771	0	9.104	11.021	8.755	8.988	9.908	10.738	10.731	9.598	9.413	9.347	9.315	9.046	8.892	8.44	9.495	12.115	12.331	11.874	0	pinger.uettaxila.edu.pk	PK	South_Asia	pinger.comsats.edu.pk	PK	South_Asia
HK.CSE.UST.N1	ZA.TENET.AC.N1	?M	536.623	504.69	500.98	499.677	547.172	585.479	591.255	518.417	524.606	529.016	1031.284	552.915	569.32	597.074	794.233	553.725	613.129	690.005	558.651	550.778	571.932	577.95	598.246	591.064	pinger.cse.ust.hk	HK	East_Asia	brunsvigia.tenet.ac.za	ZA	Africa
JP.RIKEN.N3	MZ.UEM.N1	?B	336.356	407.709	455.166	484.255	497.091	513.83	482.477	478.331	491.679	489.672	491.526	529.865	634.234	634.32	712.411	614.454	487.612	490.634	497.56	489.617	502.801	500.541	533.613	506.23	ping.riken.jp	JP	East_Asia	www.uem.mz	MZ	Africa
